Subcellular.Location	Entry	Gene.Name	Protein.Names
TM.protein	Q8TDB4	MGARP	HUMMR_HUMAN
TM.protein	Q86SU0	ILDR1	ILDR1_HUMAN
TM.protein	Q71H61	ILDR2	ILDR2_HUMAN
TM.protein	Q4G1C9	GLIPR1L2	GRPL2_HUMAN
TM.protein	Q9UBK5	HCST	HCST_HUMAN
TM.protein	Q6ZNB6	NFXL1	NFXL1_HUMAN
TM.protein	Q96C03	MIEF2	MID49_HUMAN
TM.protein	Q75NE6	MIR17HG	MIRH1_HUMAN
TM.protein	E2RYF6	MUC22	MUC22_HUMAN
TM.protein	A9Z1Z3	FER1L4	FR1L4_HUMAN
TM.protein	Q8TBA6	GOLGA5	GOGA5_HUMAN
TM.protein	Q86UQ5	GTSCR1	GTSC1_HUMAN
TM.protein	Q9Y4D8	HECTD4	HECD4_HUMAN
TM.protein	O00198	HRK	HRK_HUMAN
TM.protein	O43464	HTRA2	HTRA2_HUMAN
TM.protein	Q9BY71	LRRC3	LRRC3_HUMAN
TM.protein	Q01629	IFITM2	IFM2_HUMAN
TM.protein	Q6ZVL6	KIAA1549L	K154L_HUMAN
TM.protein	Q9UPX6	MINAR1	MNAR1_HUMAN
TM.protein	Q2VYF4	LETM2	LETM2_HUMAN
TM.protein	Q8NCU8	MTLN	MTLN_HUMAN
TM.protein	Q6IAN0	DHRS7B	DRS7B_HUMAN
TM.protein	Q8TCG1	CIP2A	CIP2A_HUMAN
TM.protein	A4D2H0	CTAGE15	CTGEF_HUMAN
TM.protein	Q86UF2	CTAGE6	CTGE6_HUMAN
TM.protein	Q9BQA9	CYBC1	CYBC1_HUMAN
TM.protein	Q9H8M9	EVA1A	EVA1A_HUMAN
TM.protein	A2RU67	FAM234B	F234B_HUMAN
TM.protein	P61567	ERVK-7	ENK7_HUMAN
TM.protein	Q8N8J7	FAM241A	F241A_HUMAN
TM.protein	Q96K12	FAR2	FACR2_HUMAN
TM.protein	P55160	NCKAP1L	NCKPL_HUMAN
TM.protein	Q8WUY8	NAT14	NAT14_HUMAN
TM.protein	O95139	NDUFB6	NDUB6_HUMAN
TM.protein	Q92968	PEX13	PEX13_HUMAN
TM.protein	Q7Z412	PEX26	PEX26_HUMAN
TM.protein	Q9NZ45	CISD1	CISD1_HUMAN
TM.protein	O14967	CLGN	CLGN_HUMAN
